        True                Raw                 HMM         
------------------------------------------------------------
      pouncer             P0uncex             pouncex       
      ketches             LLtches             ietches       
    improvement         1mproWemenY         impronemenn     
     respiting           reDPGY1ng           reapining      
      crawlier            craWl1Lx            cranliex      
     subnucleus          3ubnuclLuZ          subnucliui     
       seams               3LaMD               siama        
     conferees           c0nYLreIs           connirees      
      nielsen             nGe13In             niersen       
     opulences           0Pu1LnceZ           opuiencei      
      offence             offLnce             offince       
       seamy               ZeaMy               ieamy        
    typographic         YyPograPh1c         nypographic     
     allocates           alzocatLs           aliocatis      
   resettlements       reZLtRlLMInt3       reieteliments    
      luniest             1un1Lst             iuniest       
         cd                  cq                  cq         
      amputee             aMPutee             amputee       
       fryer               frVer               fryer        
    classifiable        cla3DGfiable        clasapfiable    
     stedhorses          3tedUorsID          steduorsea     
     ritualists          xGRuali3t3          xpeualists     
   supernumerary       ZuPernumLrary       iupernumirary    
      pounced             Pounceq             pounceq       
   bulletproofed       bu1leRProofeq       buileeproofeq    
     breedings           breed1ngs           breedings      
     streamers           ZtrLaGerD           itriapera      
 disproportionates   disProport1onaRes   disproportionabes  
      notedly             n0tIdly             notedly       
      iodizes             1odGzes             iodizes       
      styptics            3tyPRics            stypeics      
   assignability       aD3G6naS11GYy       aasienabiiiny    
      skirter             DkirYer             akiryer       
      facials             fac1alD             faciala       
     apologists          apolo61Dts          apologiats     
       ashram              aDFraM              aairam       
      stabile             ZRa8Gle             ieabile       
     orgiastic           org1aDtGc           orgiaatic      
     ghostlike           ghoDtlike           ghoatlike      
     spondaics           sp0nda1cs           spondaics      
       oscars              oscar3              oscars       
      hobbling            h0Sbl1n6            hobbling      
    idiosyncracy        idG0syncracy        idiosyncracy    
      carrions            carr1onZ            carrioni      
   questionnaire       qPL3tGonna1rL       qpistionnairi    
    nonclinical         noncz1n1caz         nonciinicaz     
     swishiest           3RishGL3Y           seishiesy      
     matchable           matcha1zI           matchaize      
       squirm              Dquirm              aguirm       
      gomorrah            g0GorraU            goiorrau      
    cobblestones        co18zeZtoneZ        coieieitonei    
   ultramicrotome      Pltram1crotomL      pltramicrotomi   
       quids               quids               quids        
       squire              squire              squire       
       uvulas              uvu1as              uvuias       
      tsarists            tZarist3            tiarists      
    windshields         M1ndsFGeld3         mindsipelds     
     pessimists          PesZ1m1DtZ          pesiimiati     
      kolinsky            kol1nsLV            kolinsiv      
       squirt              sqP1rR              squire       
    steeplejacks        ZtLePzLjacks        itiepiedacks    
      copings             c0pGng3             coppngs       
       hustle              huZt1e              huitie       
      novocain            n0vocain            novocain      
       feyer               fIyLr               feyir        
       farad               farad               farad        
    dreadfulness        drIadfuzneD3        dreadfuzneas    
       chefs               chefZ               chefi        
      flinched            flGncUed            flincued      
       aligns              a11gns              aiigns       
         if                  Gf                  if         
       sniffs              Dn1Yfs              aninfs       
      flinches            Y1GncFe3            yipncies      
      flincher            fl1ncher            tlincher      
    washability         washaSGz1ty         washabizity     
       sniffy              3niffy              sniffy       
     comparison          c0Mpaxison          compaxison     
       patent              PatLnt              patint       
     vacillate           vaci1laYe           vacirlane      
      hampers             haMPer3             hampers       
       capful              caPYul              capyul       
   copolymerizing      cop0zymerGzing      copozymerizing   
    adumbrations        aduM1raYGons        adumiranions    
     testimony           YeDRiGony           yeaeipony      
     processor           Pr0cIsZ0r           procesior      
    cameralistic        caMera11DYGc        cameraiianic    
   neurologically      neur0lo61callV      heurologically   
      teamwork            tLaMwork            tiamwork      
     chronicity          chxonGciYy          chyoniciny     
       jatos               Jat0s               jatos        
     mismanage           M1sManagI           mismanage      
      organics            organ1cD            organica      
      lionize             l10nGze             lionize       
    involvement         inWolWemInt         inaolaement     
    repossessor         rePo33L3sox         repossissox     
     claymores           clayM0reD           claymorea      
     elementary          IleGentary          eledentary     
      sottish             soRtiZh             soetizh       
     garrisoned          gaxr1DoneG          gaxriaoned     
      corselet            coxZelLY            coxielin      
            Raw[%]    HMM[%]  
------------------------------
 By word     3.00     19.00   
 By char    65.08     82.77   
[Finished in 90.9s]
